transcript,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
exploring-the-remarkable-regenerative-patterns-and-practices-of-the-internet-eng.transcription,0.0,0.0,0.0,0.014507869735370913,0.0,0.008647414298953708,0.0,0.0,0.015762841711135105,0.0,0.0,0.5110758926992898
exquisitecorpse-metagov.transcription,0.02345706478061336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5611833534506424,0.0
fiesler-fandom.transcription,0.04078009865484373,0.0,0.0,0.0,0.17067536419045265,0.0,0.0,0.08515751332473197,0.0,0.0,0.0,0.015335645512445324
frey-metagov.transcription,0.21036666021165804,0.0,0.0,0.004433229941134052,0.007489136279522024,0.03297873680721321,0.0,0.03876036965109958,0.0,0.06336114529717127,0.023426914641736196,0.0
g0v-metagov-20230517.transcription,0.0774916318603609,0.004500739945249533,0.22777821157084205,0.0,0.0,0.003962236814946433,0.0,0.0,0.0,0.0,0.0,0.008844854461057206
godin-metagov-20240103.transcription,0.1016882001728171,0.0,0.05420360568640379,0.035375002065580946,0.0,0.1394970362777521,0.016349410526278293,0.0,0.0,0.0,0.0,0.03964498373320601
golliher-metagov-20230524.transcription,0.01968769728572694,0.0,0.0,0.0,0.0,0.14572037480384292,0.02558390118220984,0.011024140850226084,0.003994088281326743,0.039889055671207395,0.0,0.010707381706334798
graber-metagov.transcription,0.0,0.0,0.010734650424689468,0.36294778186791016,0.11946649573764902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green-metagov-20230721.transcription,0.03787239330486312,0.0,0.18913610484346408,0.0,0.0,0.13640384993327917,0.07387877971273175,0.0,0.0,0.00014058533868574195,0.008183518488288556,0.0
green-metagov-20240313.transcription,0.09315508005891956,0.013627548489102052,0.0023059002362556262,0.0,0.0,0.08035234436063352,0.0,0.0003954869187879142,0.05819930276065296,0.0,0.12483517998284042,0.03552567456722886
green-metagov.transcription,0.0069209293424528666,0.0,0.18733432618511087,0.0,0.0,0.054114467690723075,0.004802822058050363,0.0,0.13554928173250133,0.0,0.0,0.0
hadfieldmenell-metagov.transcription,0.0,0.18083109059545988,0.0,0.019227305743961597,0.09060340775841325,0.03977467772502926,0.0007089480749268553,0.05442973772086187,0.0,0.060806890345854424,0.0,0.0004481880610285283
hammond-metagov-2023011.transcription,0.0,0.4198154347615517,0.0,0.0,0.0,0.0,0.009187658118938328,0.027104045078442423,0.034685464213418095,0.0,0.0,0.0
hantang-metagov-20230503.transcription,0.0,0.0,0.27640277096253585,0.03703962578076511,0.0,0.04523639270783716,0.0029275646864575073,0.001136350361066231,0.011886907067279072,0.0,0.01037031987329645,0.016073495264262435
hart-metagov.transcription,0.012399656315937783,0.0,0.08159928527482502,0.07034497170760741,0.0,0.002711312024319876,0.0,0.005321774564034658,0.0,0.0,0.028303942936467985,0.002185731251784127
hasan-metagov-20230802.transcription,0.0,0.0,0.15801568374577632,0.001741096511480024,0.0,0.04545450248046334,0.005128763057953397,0.0,0.20300786626416517,0.0,0.0,0.007109490468930017
hazard-ma-metagov.transcription,0.06253834280326344,0.0,0.043722291324895676,0.021726467379471467,0.0,0.0,0.0065315715001303485,0.12886219439281563,0.0010318115450121531,0.09867558360509994,0.00999970887770682,0.0407997584798157
im-metagov.transcription,0.0,0.0,0.0,0.03180636237737644,0.15653903514446735,0.0,0.0,0.0,0.0,0.0,0.38997191497312744,0.0
immorlica-metagov.transcription,0.0,0.0,0.0,0.421707000823701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inclusive-ocean-data-for-decision-making-sey.transcription,0.06819372195940451,0.0,0.0,0.0,0.0,0.08966935810559853,0.0,0.0139019497928004,0.02262960911716677,0.2665201143024239,0.028306578723114196,0.0
institutional-grammar-metagov.transcription,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4101393809575827,0.0,0.0,0.0,0.0
intro-to-participatory-action-research-par-a-primer-for-governance-researchers-stoudt.transcription,0.055629786458966726,0.0,0.0,0.0,0.0,0.06362657012128177,0.00012237179177275305,0.03512372645339793,0.0,0.24065025192109954,0.0,0.0
introducing-koi-coco-miller-rennie-zargham.transcription,0.0447436093700192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27385231038072244,0.051246479781339685,0.0
is-consent-watered-down-consensus-3-key-differences-that-are-easy-to-miss-rau.transcription,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6823935731179741,0.0
ize-mycelial-process-platform-demo-and-workshop-sulberg.transcription,0.12134845190386971,0.04753074509962053,0.04367665652094233,0.0,0.0,0.0,0.0004803814524111826,0.0,0.0,0.0,0.0477445830519353,0.0
jhaver-metagov.transcription,0.0,0.0018077550746083428,0.0,0.01897627879850019,0.22021752436112507,0.03881526970087496,0.0,0.09297306764623446,0.0,0.03033269320705539,0.0036000066199879167,0.0
kellert-metagov.transcription,0.0024963214811458442,0.0004139830868646723,0.01045845984708792,0.0,0.0,0.03328758238294787,0.016455039599302387,0.0,0.3403517611561466,0.007178233350996961,0.02783776522611368,0.018560749267475828
kleros-metagov.transcription,0.0,0.0,0.18307621912690225,0.03030771497895311,0.0,0.026035324581213763,0.014877566692431676,0.01750026801001064,0.0011776251121838333,0.0,0.0,0.016133171489135716
korpas-metagov-20230201.transcription,0.0,0.0,0.2978399234750645,0.0,0.0,0.0,0.0,0.06236235222657372,0.0,0.0513325007678502,0.00487566678524906,0.0
korpas-metagov.transcription,0.0,0.0,0.37354604405416336,0.0,0.0,0.0,0.0,0.0,0.0,0.07572739518066432,0.0,0.0
kronovet-metagov-20230329.transcription,0.01951250409954765,0.00038910886125930204,0.0026723663299467798,0.0,0.0011385380255382214,0.014813576511401695,0.4785787128633988,0.006773268954179563,0.013390071001435595,0.015891424805137302,0.005729450373993179,0.00457835136523715
kronovet-metagov-20230628.transcription,0.0,0.0,0.0,0.0,0.0,0.0,0.570748225642184,0.0,0.0,0.0,0.0,0.0
kuhn-metagov-20240320.transcription,0.024303726111363604,0.0011243707710390685,0.0,0.06292573468685073,0.0,0.0,0.000269705522920533,0.0,0.0,0.21680102939147888,0.00506832141869519,0.0
kybern-metagov.transcription,0.13164199373752747,0.0,0.023544625648138695,0.0,0.0,0.0,0.0,0.09450567906417406,0.0,0.03796051743383184,0.00033903958668226946,0.0
learnings-from-copim-community-led-open-publication-infrastructures-for-monographs-adema.transcription,0.030083800764722602,0.006301382605221221,0.0,0.0,0.004254826332125561,0.004144329582428508,0.0,0.034467454925445146,0.06087750228422213,0.2477430027127765,0.00504678880754447,0.0
legra-workshop-20220914-metagov.transcription,0.15867916719019853,0.004497443243555154,0.0,0.00691371001014459,0.0,0.0,0.0031967471648416375,0.0,0.014925141074978986,0.0,0.022125392123896196,0.025330206502314635
lenhart-metagov-20230215.transcription,0.05879583182421784,0.007043205722616487,0.0,0.0,0.1719865064484431,0.061699184372157136,0.02332545322664238,0.0009582477095377824,0.0,0.018207398207555476,0.0,0.0174969789970134
lightningtalks-20211006-metagov.transcription,0.14326825672473387,0.0,0.07402673594489691,0.004651462817529582,0.00339732695586525,0.016798607174194992,0.0,0.018880526246224834,0.055226143464679106,0.14800992024994963,0.0,0.00030902331069753884
martel-metagov-20221109.transcription,0.021134886854541082,0.0,0.0,0.0,0.0051096887529632675,0.07528199238323777,0.0,0.03364725935670793,0.1500308536438798,0.0,0.0,0.1209779370073987
mckenzie-landel_hajjar-metagov-20231018.transcription,0.0,0.025080440032340407,0.13115333674395477,0.059396774648072144,0.0,0.02850157546771293,0.013014730182060601,0.024958532743690198,0.07466733546434753,0.0,0.016268018576083405,0.0
merrill-metagov.transcription,0.0,0.016602858580435496,0.018125964750837057,0.30269967158336075,0.0,0.04498857670166694,0.0024766558684032247,0.037936345966926084,0.0,0.0,0.01714585460145385,0.0
metagov-8-12-pol.is.transcription,0.06400376016078742,0.001358961578341537,0.0,0.0,0.004825965722952855,0.2987385274446098,0.004547680621970741,0.01413284027180224,0.0,0.039585662876928794,0.0,0.026658177118927394
metagov-bednar-pt1.transcription,0.021776129358721343,0.0,0.0,0.03012889670270264,0.0,0.05434397851247409,0.007763835551625367,0.27816867563888364,0.008206414772068427,0.0,0.0,0.009479840537791842
metagov-bednar-pt2.transcription,0.0,0.0,0.0,0.0,0.0,0.05182883142420903,0.0004423997009188205,0.31620275783761015,0.0,0.0,0.0,0.0
metagov-chakraborti-20240410.transcription,0.05307143160832386,0.03747226458775068,0.0097146233802497,0.0,0.01834974403159949,0.0,0.0,0.19189171457795098,0.0,0.08409195961287974,0.0,0.0
metagov-demoor.transcription,0.0,0.0,0.0,0.0,0.0,0.0,0.005188854822396869,0.33441181213410703,0.0,0.07040994196335616,0.0,0.006069859829932031
metagov-govbase.transcription,0.11328928873748911,0.0,0.09806309024213652,0.0,0.0,0.0,0.0,0.11823562099888275,0.0,0.12157411437764548,0.0,0.0
metagov-governance.transcription,0.18880297322688339,0.0,0.014980574353444333,0.0,0.0,0.0,0.0,0.0,0.023248235965188775,0.0,0.012442927785192529,0.08521624726507426
metagov-hill.transcription,0.04704286920871976,0.0,0.004935249800720115,0.056054872083209084,0.023493642377577357,0.0,0.005434211053259005,0.0,0.023196540794856977,0.29938471185872506,0.0,0.01394868614435192
metagov-panel-standards-governance-as-a-general-design-pattern.transcription,0.0,0.013388241030557746,0.0,0.0,0.0,0.0,0.0004478462646807124,0.0,0.0,0.0,0.0,0.689034317416195
metagov-panel-standards-governance-on-the-internet-today.transcription,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238312933374036
metagov-pearl.transcription,0.0,0.0,0.0,0.029638329278419116,0.0,0.017378634966564117,0.000803058485557097,0.10121343827473783,0.056151399551527974,0.0006933702016830737,0.0,0.011576867773302952
metagov-salehi.transcription,0.01702630719701967,0.0,0.0,0.0,0.3236467901474745,0.006690158685874978,0.0003463802571656184,0.006831416345669162,0.029313232714541955,0.0,0.002676670135442166,0.019563846747245744
metagov-seminar-20230419.transcription,0.10241485885735238,0.0,0.00426374868599952,0.0,0.01437694964170343,0.014186604810955121,0.0,0.12313094215331855,0.0,0.0,0.0,0.0
metagov-seminar-bloom.transcription,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4185435926828232,0.0,0.24004207116246357
metagov-seminar-cassel.transcription,0.11445344643750538,0.0,0.0,0.0010885749403510934,0.0,0.0,0.0,0.013413740554648378,0.03882673617412347,0.1226742334641505,0.03116566163208155,0.014020270922418749
metagov-seminar-compressed-to-0-the-silent-strings-of-proof-of-personhood-04172024.transcription,0.0,0.03170472181890924,0.021514581884681534,0.2964907881733229,0.0,0.06420573863264047,0.0008315607990253508,0.0,0.0028502311238161183,0.0,0.012691894669633578,0.002461598575121399
metagov-seminar-coordinating-decentralized-research-with-lab-discourse-graphs-akamatsu.transcription,0.054260195696972296,0.016164154778904455,0.0,0.006130451493782133,0.0,0.0,0.0,0.0,0.0,0.3216775501780254,0.0,0.0
metagov-seminar-degraf-052224.transcription,0.03208117568479033,0.0,0.0,0.21919419308666707,0.0,0.013798490446409252,0.009787611111727035,0.0,0.03289750393856663,0.14930688429869313,0.0,0.0
metagov-seminar-frishmann-05152024.transcription,0.06926704293915426,0.021878834693415766,0.0,0.04219428910213097,0.032998321173141165,0.0,0.0005803968922795948,0.06631517675186444,0.003555994176758232,0.02206322046382537,0.0,0.016377850063230878
metagov-seminar-introducing-doxamarket-information-markets-for-decentralized-governance-05082024.transcription,0.04280851711788717,0.03470724545796529,0.0883760911121155,0.0,0.0,0.09194406710264745,0.01469816776174926,0.0,0.021346509720932254,0.01904354148683914,0.0,0.0003250933994875404
metagov-seminar-pre-dweb-camp-fireside.transcription,0.17964303487152625,0.0,0.0,0.0018625417534027387,0.0,0.0,0.00303454098424591,0.0,0.01428833564987711,0.019907596519984735,0.0,0.025695540658857995
metagov-seminar-research-notes-on-digital-identity-04242024.transcription,0.005372556649096656,0.004333776670324284,0.0,0.36697088603039235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
